0.00433213,0.546391753
0.023104693,0.533136966
0.041877256,0.51988218
0.060649819,0.500736377
0.083754513,0.500736377
0.108303249,0.484536082
0.134296029,0.488954345
0.151624549,0.494845361
0.174729242,0.486008837
0.193501805,0.484536082
0.209386282,0.48011782
0.232490975,0.468335788
0.245487365,0.46539028
0.268592058,0.460972018
0.290252708,0.459499264
0.301805054,0.459499264
0.335018051,0.447717231
0.355234657,0.447717231
0.372563177,0.441826215
0.39133574,0.441826215
0.407220217,0.430044183
0.43465704,0.413843888
0.460649819,0.406480118
0.470758123,0.409425626
0.505415162,0.409425626
0.534296029,0.424153166
0.566064982,0.440353461
0.592057762,0.453608247
0.615162455,0.468335788
0.655595668,0.500736377
0.684476534,0.516936672
0.711913357,0.540500736
0.742238267,0.558173785
0.758122744,0.568483063
0.788447653,0.590574374
0.810108303,0.605301915
0.837545126,0.622974963
0.873646209,0.65095729
0.909747292,0.671575847
0.944404332,0.671575847
0.974729242,0.680412371
0.997833935,0.65832106
